,index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc,word_ind,ori_word,clip_index,_before_no,_after_no,before_text,after_text,_before_kor,_after_kor,word_meaning,verify
16,22538,move,200,Just tell her you need the relationship to move at a pace,BB210,714250,716867,just tell her you need relationship to move at pace,./bigbang,F,2,move,16,5,2,"You know, if you're uncomfortable with the way things are going,
you're allowed to say something.
Are you sure? That doesn't sound right.
Believe me, your feelings are just as important as hers.
No, that doesn't sound right either.","Yeah, I could say something like that to her.
I'll go do that.","사귀는 데 있어서 뭔가 불편하다고 여겨지는 게 있으면
다 말해도 괜찮아요
정말요? 그러면 안 될 것 같은데요
정말이에요, 레너드의 감정도 스테파니 감정만큼이나 중요하다고요
그것도 틀린 말 같아요","그런 식으로 말할 수 있을 것 같아요
가서 말해야겠어요",v. 옮기다; 진행되다,F
17,22735,move,239,we move at a pace,BB210,862559,864687,we move at pace,./bigbang,F,2,move,17,6,2,"When is scary not good?
But...
I have feelings, right?
Okay, and it's perfectly okay to express those feelings, right?
Of course, honey, why don't you tell me what it is you're feeling?
Okay, well, I think it's important to remember that","that is our speed and...
Oh, shoot, I had it!","싫어서 두려운 게 어디 있겠어요?
그렇지만..
저한테도 감정은 있어요
그 감정을 표현하는 건 괜찮은 거죠?
그럼요, 그럼 어서 그 감정을 말해봐요
우리가 기억해야 할 게 뭐냐면","그게 우리의 속도이고..
젠장! 아깐 다 됐는데!",v. 옮기다; 진행되다,F
18,22921,move,273,"I'm afraid that if I ask her to move out,",BB210,983655,986119,i'm afraid that if i ask her to move out,./bigbang,F,2,move,18,5,4,"Really? - Yes!
You don't always have to go along with what the woman wants.
What?
Nothing. Just... rethinking my whole life.
Here's the thing.","she'll just dump me.
It's a chance you have to take.
I mean, look, if it's meant to be, it'll be.
Very comforting.","정말요? - 네!
여자가 하고 싶다는 대로 다 할 필요는 없어요
왜요?
지금까지의 인생을 되돌아보고 있어요
알겠어요","날 차버릴까 봐 두려운 거예요
그 정도는 감수해야죠
어차피 그렇게 될 거라면 언젠가는 일어날 일이에요
정말 위안이 되네요",v. 옮기다; 진행되다,F
19,26706,move,196,People move away from her on the bus.,BB212,701292,705108,people move away from her on bus,./bigbang,F,2,move,19,7,2,"I don't wanna talk to her.
Ma!
She ran past me. Was I supposed to tackle her?
So, I just came by to see how you were doing.
I'm fine.
Good.
Your mom seems nice.","What do you want?
I just want to apologize.","말하기 싫어요!
!!!!!!!! - 안녕하세요 - 엄마!
날 지나쳐갔어 발이라도 걸었어야 했냐?
좀 어떤지 보러왔어요
괜찮아요
다행이네요
어머님이 참 좋으시네요","왜 왔어요?
사과하러 왔어요",v. 옮기다; 진행되다,F
20,5137,change,63,"No change in respiration,pupils un-dilated,no flushing of the chest.",BB201,203720,208240,no change in respirationpupils undilatedno flushing of chest,./bigbang,F,3,change,10,6,3,"Sadly,that's my home run swing.
Look,everything went fine.
I didn't even have to refer to  my impromptu conversation starters.
That woman across the hall is into me.
Let's go to the tape.
Look at her reaction to the good night kiss.","Nice close-up,by the way.
Interesting. Her jaws are clenched: no tongue access.
Clearly a bad sign amongst mating humans.","그게 내가 가진 최고의 무기인데 말이야
전부 다 괜찮았어
말문이 막혔을 때 보려고 준비한 것들을 꺼낼 필요도 없었단 말이야
건너편 집 여자는 나한테 관심 있어
테이프를 한 번 볼까
작별 키스를 할 때 반응을 한 번 봐","확대 화면이 죽이는데
재밌는데, 턱도 꽉 다물고 있고 혀는 움직이지도 않아
짝짓기 하려는 인간에게는 안 좋은 징조군","v. 바꾸다, 수정하다 n. 변화",F
21,6129,change,203,Did you change the contrast or  brightness settings on the television?,BB201,759280,762920,did you change contrast or brightness settings on television,./bigbang,F,3,change,11,5,4,"And some of those skinless chicks were Hot!
If you'll excuse me,I'm going to pack.
That's kind of an overreaction to a little harmless necrophilia.
It's not you,Howard. He says he's moving out.
What did you do?","No.
Did you take a Band-Aid off in front of him?
No.
Did you buy generic ketchup, forget to rinse the sink,","피부도 안 남은 여자들 끝내주던데!
그럼 난 잠시 짐 싸러 실례할께
아무리 시체를 좋아해도 좀 과한 반응인 것 같은데
너 때문이 아니야 집을 나가겠대
너 무슨 짓을 한 거야?","아니
쟤 앞에서 반창고 뗐어?
아니
아무 케첩이나 사서 설겆이하는 거 잊어버리고","v. 바꾸다, 수정하다 n. 변화",F
22,15533,change,67,"My God, that would change the way we view the entire physical universe.",BB206,261249,264345,my god that would change way we view entire physical universe,./bigbang,F,3,change,12,5,2,"and was wondering how you determined that 3-dimensional string-nets provided a unified picture of fermions and gauge bosons?
Amazing, an intelligent labradoodle.
Woof.
The fact is I'm quite close to a breakthrough
in showing how neutrinos emerge from a string-net condensate.","It's what I do.
You know, the Pishkin-Wolowitz Liquid Waste Disposal System is turning a few heads as well.","어떻게 3차원 끈 그물로 페르미온과  게이지 보존으로 통일된 이론을 만드셨는지 궁금했어요
대단하군요 똑똑한 실험실 강아지야
멍멍
사실은 끈-그물 응축을 통해서
뉴트리노가 생성되는 과정을 거의 다 설명할 수 있는 단계에 왔어요","내가 하는 일이 그거죠
피시킨-왈로위츠 액체 분비물 폐기 시스템도 사람들의 인식을 바꾸고 있어요","v. 바꾸다, 수정하다 n. 변화",F
23,21156,change,299,"It's not bold, it's a mistake. I didn't change my status.",BB209,1154618,1158618,it's not bold it's mistake i didn't change my status,./bigbang,F,3,change,13,6,2,"Leonard Hofstadter is ""in a relationship.""
What? No, that's not right.
Oh, man, did you switch your status before she did?
Speaking as an expert, way to look needy.
Seriously? You went first, after only two weeks?
That's bold...","Well, then who did?
I had no choice. He cried in front of her.","레너드 호프스태터는 ""연애 중"" 입니다
뭐요? 그런 적 없는데요
여자보다 먼저 바꾼 거야?
전문가 관점에서 말하건데 진짜 절박해 보여
정말요? 고작 2주 뒤에 먼저 바꿨어요?
대담한데요","그럼 누가 그랬어요?
어쩔 수 없었어 쟤가 스테파니 앞에서 울었다고","v. 바꾸다, 수정하다 n. 변화",F
24,41664,change,33,Change is never fine.,BB219,80830,81900,change is never fine,./bigbang,F,3,change,14,7,4,"How else was I supposed to say it?
Slowly. like putting a new fish in a tank.
You don't just drop it in.
You let the bag sit in the water a while.
The horror...
Sheldon, I'm sure it's going to be fine.
No, it's not going to be fine.","They say it is, but it's not.
Okay, honey, did you even know the people that are moving out?
I never met them.
That's what made them perfect.","그럼 무슨 얘길해?
슬슬해야지,
물고기잡고 바로 물탱크에 쳐넣듯이 갑자기 툭 말을 던지면 안되는거라구
잠깐은 물고기를 봉다리에 물넣어서 담가두어야지.
공포...
쉘든, 별일 없을거야
아냐 그렇지 않아","다들 그렇다고 하지만, 아니야.
니들 이사가는 사람들 누군지 알기나 했어?
한번도 본적 없었어
그래서 그 사람들이 완벽했다는거지","v. 바꾸다, 수정하다 n. 변화",F
25,49433,change,215,"Okay, here's an idea. What if I change my name and go live",BB222,702245,704675,okay here's idea what if i change my name and go live,./bigbang,F,3,change,15,7,2,"Speaking of what goes around comes around...
Okay, look.
Instead of trying to reinforce this structure here,
what if we just ran another line, bypass it entirely?
It won't work. The diameter of the tubing is insufficient.
What if we reposition the collection tank?
It won't work. No way to mount it.","with my cousin and her husband, Avi, in Israel?
That could work.","뭐가 오고 가는 걸 얘기하고 있는데...
좋아, 봐봐
이 구조물을 강화하려는 것 대신에
다른 라인을 만들어서 전체를 우회하는 건 어때
안 될거야 튜브의 지름이 부족해
집하탱크 위치를 다신 잡는 건 어때?
안 될거야. 설치할 공간이 없어","아비라는 걔 남편이 있는데 가서 살면 어떨까? 이스라엘이라고...
잘 될것 같다","v. 바꾸다, 수정하다 n. 변화",F
26,55558,change,142,"Hmm, how times change.",BB503,462261,465345,hmm how times change,./bigbang,F,3,change,16,7,1,"Wouldn't you rather bring Sheldon?
I would, but the last wedding we went to was a disaster.
He behaved like a child the entire time.
Not my fault.
You said there'd be other scientists there my age.
Doesn't matter. You're out, he's in.
No date to the prom, two dates to a wedding.","(singsongy): Ha-ha, you have to go to a wedding.","셸든이랑 가지그래?
그러고 싶은데 정말 안좋은 경험이었어
결혼식에서 애처럼 행동을 하더라고
내 잘못 아니다
내 또래의 과학자들이 있을거라고 했잖아
상관없어 넌 빠지고 얘랑 갈거야
졸업파티때는 아무도 없더니 결혼식에는 두 명이라","하하, 결혼가야 된대요~","v. 바꾸다, 수정하다 n. 변화",F
27,60437,change,293,Change your mind about sex?,BB505,719312,721496,change your mind about sex,./bigbang,F,3,change,17,7,3,"Oh, damn!
The floppy failed.
Well,
whoever was in charge of quality control
at the Verbatim Corporation in 1989,
congratulations, you just made the list.
Howard?","I'm still mad, but I'll do it.
No, I've just been thinking.
It doesn't matter if I'm afraid for your safety.","아 이런!
디스켓이 고장났어
흠
1989년에 Verbatim Corporation에서
품질관리를 맡으신 바로 당신
축하합니다 방금 리스트에 올라가셨네요
하워드?","아직 화났어도 난 할건데.
아니 생각 좀 해봤어.
내가 자기 걱정되는건 중요한게 아닌거 같아","v. 바꾸다, 수정하다 n. 변화",F
28,63089,change,250,"Well, I'm going to stand here until you change your mind.",BB506,751136,754054,well i'm going to stand here until you change your mind,./bigbang,F,3,change,18,6,2,"Shelly, I hung out with you in enough dusty lecture halls
I want to go sightseeing.
So why don't you have some pancakes,
get dressed and come with us.
I'm not going, and you can't make me.
You're right, I can't. Have a nice day.","Well, then you are going to stand there all day.
I'm just gonna take my bacon grease and slide over there.","쉘리, 네가 어릴 때부터  강연은 충분히 다닌 것 같구나
이번에는 관광을 하고 싶어
그러니까 팬케익이나 먹고
같이 나가자
갈 생각 없으니 억지 부리지 마세요
그래, 좋은 하루 보내","종일 서 있어야겠네
베이컨 기름이랑 저쪽으로 미끄러질게요","v. 바꾸다, 수정하다 n. 변화",F
29,68719,change,133,George Lucas is going to change it again.,BB509,442729,446030,george lucas is going to change again,./bigbang,F,3,change,19,6,2,"Thanks.
Tickets are 11 bucks.
Not a date.
Come on, Sheldon,  Star Wars.
I'm pushing play. I mean it.
If we don't start soon,","This would go a lot faster
and helped me set up this high-frequency tone generator.","고마워
표는 11불이야
데이트 아니잖아
스타워즈 볼 시간이야
재생 시작한다
지금 시작 안 하면","직업학교 출신이  도와주면 훨씬 빠를 걸
고주파음 발생기를 설정하고 있어","v. 바꾸다, 수정하다 n. 변화",F
30,25256,offer,299,You'll be pleased to know I'm prepared for whatever you have to offer.,BB211,1045955,1049981,you'll be pleased to know i'm prepared for whatever you have to offer,./bigbang,F,4,offer,10,3,1,"Merry Christmas.
How's your leg? - Very good, thanks for asking. Come on in.
Good, Penny, you're here to exchange gifts.","Okay, here.","메리 크리스마스!
다리는 어때요? / 괜찮아요 물어봐줘서 고마워요, 어서 들어와요
좋아요, 선물 교환하러 왔군요","알겠어요, 여기요","v. 제공하다 n. 제공, 할인",F
31,27318,offer,299,and offer me your robot as the spoils of war.,BB212,1091642,1095546,and offer me your robot as spoils of war,./bigbang,F,4,offer,11,7,4,"I just wanna make sure we're all clear.
Standard robotic fighting league rules apply.
Are you cwazy?
This is a stweet fight. The stweet has no rules.
He's right, Leonard. The paradigm is to the death.
I will, however,
give you the opportunity to concede my superiority now","Never.
I'd rather see MONTE dead than in your hands.
That could be easily arranged.
Ready, set, go?","규칙 한 번 더 확인할게
리그 규칙에 따른 로봇 대전이야
미쳤어?
이건 길거이 싸움이야 길거이엔 규칙 따윈 없어
맞아, 죽을 때까지 가는 거지
여기서 잠깐
내가 우월하다는 걸 인정하고","웃기는 소리
네 손에 있는 걸 보느니 차라리 몬티가 죽는 걸 보겠어
그건 누워서 떡 먹기지
시작할까?","v. 제공하다 n. 제공, 할인",F
32,40813,offer,220,Since when do we offer a one-day rush?,BB218,782390,784480,since when do we offer oneday rush,./bigbang,F,4,offer,12,5,3,"""The Fifth Annual East Rutherford,New Jersey,Gay,Lesbian,Bisexual and Transgender Alliance Luau.""
Oh,another market to expand into-- balding gay men.
And I'll bet lesbians love Bluetooth.
We should get to work.
Wait,wait,why does it say ""one-day rush""?","Amazon offers one-day rush.
Yeah,but they don't have to glue the books together.
How the hell are we going to make a thousand Penny Blossoms in one day?","""뉴저지 동부 러더포드의 게이, 레즈비언, 양성애자, 성전환자 연합 5주년 파티""
오, 시장이 더 넓어졌는걸 대머리 게이들 말이야
그리고 레즈비언은 블루투스를 좋아한다니까
우린 가서 일해야 돼
잠깐, 잠깐, 잠깐, 왜 여기 '하루 배송'이라고 써 있어?","아마존이 하루만에 배송해 주지
그래, 하지만 걔네들은 책들을 풀로 붙일 필요가 없잖아
도대체 어떻게 하루만에 천 개의 페니 블라섬을 만들 수 있겠어?","v. 제공하다 n. 제공, 할인",F
33,42814,offer,250,"Who might accept my offer and fall in love with me.""",BB219,704960,707830,"who might accept my offer and fall in love with me""",./bigbang,F,4,offer,13,9,5,"Cream sundae for himself, and then offers one
To the empty stool sitting next to him.
This goes on for a while
Until the owner finally asks him what he's doing.
The man says, ""well, I'm a physicist,
and quantum mechanics...
Teaches us ""that it is possible
For the matter above this stool ""to
Spontaneously turn into a beautiful woman","The owner then says, ""well, lots of single,
""beautiful women come in here ever day.
""why don't you buy an ice cream for one of them,
And they might fall in love with you?""
And the physicist says, ""yeah, but what","선데이 아이스크림을 주문하는데 하루는
? 빈 의자를 옆에 놓아달라고 주문했어.
한참동안은 이렇게 주문했는데
주인에 도대체 뭐하냐고 물을때까지 말이야
이 남자가 말하길 "" 저는 물리학자입니다.""
""그리고 양자역학은
이 의자의 물질이 즉각적으로
아름다운 여자로 변해서 내 제안을
받아들이고 나와 사랑에","주인이 말하길 ""많은 싱글들이,
""아름다운여자들이 우리 가게에 오는데 .
""그 여자들한테 아이스크림 하나 사주지 그러쇼?
그래야 당신과 사랑에 빠질텐데요?""
그러자 물리학자 왈,","v. 제공하다 n. 제공, 할인",F
34,44959,offer,171,Would you rather I offer my personal insight?,BB220,610920,613220,would you rather i offer my personal insight,./bigbang,F,4,offer,14,5,4,"The Original Series Trouble With Tribbles crossover episode.
Would you like some advice?
Sure, why not?
Well then, thiis the perfect time to launch a blog with an interactive comments section?
Gee, thanks a lot.","I don't need any insights.
I just want to know why Penny's more interested in Stuart than me.
We're practically the same guy.
Oh, I disagree.","방영중인데 TV를 껐을 때 알아차렸지
내가 충고 좀 해줄까?
그래, 한 번 해봐
그래, 그럼.. 네이트 톡에 올려봐
무진장 고맙다","다른 사람들 생각은 필요없어
난 그냥 페니가 왜 나보다 스튜어트한테 더 관심을 가지는지 알고 싶은거야
우린 사실상 똑같은데 말야
오, 난 그렇게 생각하지 않아","v. 제공하다 n. 제공, 할인",F
35,59151,offer,49,"Okay, 225-- my final offer.",BB505,114167,116067,okay my final offer,./bigbang,F,4,offer,15,13,4,"Can you do any better?
Are you kidding?
I'm already giving you the friends and family discount.
Oh, did you hear that?
We're getting the friends and family discount.
We are honored and we will take it.
Slow down.
Two hundred.
What are you doing?
250 is already the discounted price.
Will you shut up?
Tell you what, I'll go 235.
Nope. Maybe another time.","Take it, take it.
Two hundred.
Man, you're killing me!
Killing you? I can't breathe.","좀 깎아줄수 없어?
장난해?
벌써 가족&친지 할인 해줬잖아
들었어?
가족&친지 할인 해준다잖아
할인 고마워 이걸로 할게
기다려봐 좀
200불?
빨리 좀 하자
250불도 깎아 준거라잖아
입 좀 닫고 있어봐
그럼 235불까지는 해줄게
에이 그래도 안되겠어","사자! 사자!
200불
아주 날 잡았네 오늘!
날을 잡아?  나는 숨도 못쉬겠어 지금","v. 제공하다 n. 제공, 할인",F
36,62371,offer,135,Offer them a hot beverage.,BB506,404754,407905,offer them hot beverage,./bigbang,F,4,offer,16,10,4,"I'm so lonely.
Oh, yes, born alone, die alone.
It's a tragic human condition.
Now, Raj,
if you'll excuse my mother,
she's about to make a pecan pie
that'll be so good I'll almost forget
how she blew it with the fried chicken.
Sheldon, your friend is hurtin'.
What do we do when someone's hurtin'?","And when they're drunk as a skunk,
what beverage do we offer?
Coffee.
And what do we do it with?","너무 외로워요
혼자 태어나고 혼자 죽는 거야
사람이란 다 그래
자, 라지
엄마는 바빠서 가봐야 해
피칸 파이를 만들 건데
너무 맛있어서  만회할 수 있을 거야
후라이드 치킨은 놓쳤거든
쉘든, 네 친구가 아파하고 있어
누군가 아파할 때는 어떻게 해야하지?","미친 듯이 취했을 때는
어떤 음료를 권해야 하지?
커피요
그리고 어떻게 해야 한다고?","v. 제공하다 n. 제공, 할인",F
37,62385,offer,137,what beverage do we offer?,BB506,409409,410842,what beverage do we offer,./bigbang,F,4,offer,17,10,2,"It's a tragic human condition.
Now, Raj,
if you'll excuse my mother,
she's about to make a pecan pie
that'll be so good I'll almost forget
how she blew it with the fried chicken.
Sheldon, your friend is hurtin'.
What do we do when someone's hurtin'?
Offer them a hot beverage.
And when they're drunk as a skunk,","Coffee.
And what do we do it with?","사람이란 다 그래
자, 라지
엄마는 바빠서 가봐야 해
피칸 파이를 만들 건데
너무 맛있어서  만회할 수 있을 거야
후라이드 치킨은 놓쳤거든
쉘든, 네 친구가 아파하고 있어
누군가 아파할 때는 어떻게 해야하지?
따뜻한 음료를 권해야죠
미친 듯이 취했을 때는","커피요
그리고 어떻게 해야 한다고?","v. 제공하다 n. 제공, 할인",F
38,64807,offer,150,"Okay, well, I'd offer you Halloween candy,",BB507,620803,622719,okay well i'd offer you halloween candy,./bigbang,F,4,offer,18,7,4,"(knocking) It's open.
Hey, you got a minute?
Yeah, sure, come on in.
Thanks.
Want some mac and cheese?
No. Lactose. Gas.
Glass of wine? - No. Sulfites. Migraines.","but that's gone.
So, what's up?
Okay, we used to go out, right?
Oh, my God, that's where I know you from.","들어와
잠깐 시간 있어?
물론이지
고마워
맥앤치즈 먹을래?
유당이랑 가스 때문에 안돼
와인 한 잔? - 아황산염, 편두통","이미 다 먹었어
무슨 일이야?
전에 사귄 사이잖아
어쩐지 익숙하다 했어","v. 제공하다 n. 제공, 할인",F
39,66503,offer,135,for me to offer you a hot beverage.,BB508,449454,451671,for me to offer you hot beverage,./bigbang,F,4,offer,19,5,2,"Would you like to talk about it?
And keep in mind that ""no"" is a perfectly viable answer.
Sheldon, my world is crumbling around me.
Point of order.
As you're in distress, it would be customary","But I'm a guest in your home,
so it would be customary for you to offer me a beverage.","무슨 일인지  얘기 좀 들어줄까?
싫다고 해도  받아들일 수 있어
쉘든, 내 멘탈이  붕괴되고 있어
순서를 지키자
네가 괴로워하고 있으니","하지만 내가 손님이잖아
네가 음료를 내오는 게 맞지","v. 제공하다 n. 제공, 할인",F
40,7608,order,125,"Your place, we'll order Chinese, you'll rent a movie--",BB202,420789,423224,your place we'll order chinese you'll rent movie,./bigbang,F,5,order,10,6,2,"
Yeah, I can see how that would-- a bunch of people?
Anyway, I figure it's time to slow things down and,
who better to slow things down with than you?
I'm flattered.
So,","artsy, but accessible-- then light petting, no coitus.
Sounds fun.","지겨워지는 때가 있기 마련인가봐
음, 대충 알겠.. 사람들이라고?
어쨌든, 이제는 천천히 해야할 때인 것 같아서
그리고 너보다 더 천천히 할 사람이 어디 있겠어?
칭찬 고마워
그러면 어떻게 하길 원하는거야?","예술적이면서도 쉬운 걸로 그리고 가볍게 애무하고 섹스는 안 해
재밌겠는데",v. 주문하다 n. 주문,F
41,7900,order,170,Then don't order popcorn.,BB202,570726,572276,then don't order popcorn,./bigbang,F,5,order,11,6,3,"because Leonard, get this, has a date.
Good for him.
Why are you sitting here? Why don't you just go to a movie or something?
Alone?
Yeah, why not? - What if I choke on my popcorn?
Who will administer the Heimlich maneuver?","No popcorn at the mo... listen to yourself.
Why don't you go to a coffee shop? - I don't drink coffee.
They have other things.","레너드가 데이트를 하니까요
아, 잘됐네요
그런데 왜 여기 앉아있어요? 영화 보러 가거나 다른 일 하면 되잖아요
혼자서요?
네, 왜요? - 팝콘 먹다 걸리면요?
목에 걸리면 <font color=#FFD700>하임리히법</font>은 누가 해주죠?","영화관에서 팝콘 먹지 말라니 생각 좀 하고 말해요
그럼 카페에 가요 - 커피 안 마셔요
커피 말고 다른 것도 있어요",v. 주문하다 n. 주문,F
42,12478,order,239,I want you to check before you accept the order. / Sorry.,BB204,881654,885377,i want you to check before you accept order sorry,./bigbang,F,5,order,12,5,1,"Did you pick up the low sodium soy sauce from the market? / Yes.
Thank you. - You're welcome.
What took you so long?
Just sit down and eat. - Fine.
All right, it's shredded. What do you want me to do?",Were you distracted by the possibility that Koothrappali might have intercourse with Penny tonight?,"저나트륨 간장도 샀지? / 응
고마워 - 뭘 이정도로
그런데 왜 이리 오래 걸렸어?
그냥 앉아서 먹기나 해 - 알겠어
그래, 찢어졌다 나보고 어쩌라고!",라지가 페니랑 하게 될지도 모른다는 가능성 때문에 머릿속이 복잡해졌어?,v. 주문하다 n. 주문,F
