index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc
54,banner,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
55,based,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
56,on,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
57,weight,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
58,does,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
59,he,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
60,eat,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
61,chalk,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
62,just,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
63,cause,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
64,i,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
65,don't,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
66,want,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
67,her,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
68,to,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
69,go,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
70,through,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
71,what,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
72,i,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
73,went,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
74,through,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
75,with,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
76,karl,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
77,towns,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
78,will,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
79,be,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
80,relax,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
81,this,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
82,is,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
83,not,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
84,even,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
85,date,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
86,it's,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
87,just,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
88,two,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
89,people,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
90,going,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
91,out,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
92,to,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
93,dinner,3,Zorziah behind a banner based on weight does he eat chalk just cause I don't want her to go through what I went through with karl towns will be a relax this is not even a date it's just two people going out to dinner,FR101,60530,74588,zorziah behind banner based on weight does he eat chalk just cause i don't want her to go through what i went through with karl towns will be relax this is not even date it's just two people going out to dinner,./friends,F
94,dinner,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
95,and,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
96,not,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
97,having,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
98,sex,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
99,sounds,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
100,like,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
101,date,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
102,to,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
103,make,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
104,her,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
105,arch,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
106,her,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
107,back,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
108,in,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
109,high,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
110,school,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
111,during,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
112,middle,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
113,of,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
114,cafeteria,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
115,and,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
116,i,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
117,realize,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
118,i'm,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
119,totally,4,Dinner and not having sex sounds like a date to make her arch her back in high school during the middle of the cafeteria and I realize i'm totally naked mmm oh,FR101,74590,89748,dinner and not having sex sounds like date to make her arch her back in high school during middle of cafeteria and i realize i'm totally naked mmm oh,./friends,F
