userID,한식,중식,일식,양식
114,5,2,5,2
115,4,3,4,3
116,3,1,4,2
117,1,2,1,2
118,1,2,4,2
119,3,3,5,4
120,1,2,1,3
121,5,4,5,3
122,5,3,4,2
123,3,1,2,5
124,5,3,5,3
125,1,1,4,2
126,4,1,5,1
127,5,1,5,1
128,3,4,2,3
129,1,4,5,3
130,1,3,2,2
131,2,3,2,1
132,2,4,1,4
133,2,3,4,3
134,4,3,4,3
135,2,5,1,1
136,3,4,2,4
137,5,1,4,5
138,3,2,4,1
139,1,2,5,1
140,4,1,1,2
141,4,3,4,2
142,5,1,5,5
143,5,3,4,2
144,5,5,3,2
145,5,2,4,2
146,5,5,5,3
147,1,2,2,1
148,2,5,3,5
149,4,1,2,4
150,1,5,3,1
151,3,4,2,4
152,1,3,2,4
153,5,3,5,5
154,4,5,2,5
155,4,4,4,4
156,2,2,3,5
157,1,1,5,4
158,5,3,1,5
159,5,4,5,2
160,2,1,5,2
161,4,1,1,3
162,2,1,1,2
163,5,4,3,3
164,1,4,1,5
165,2,3,3,1
166,2,4,5,4
167,3,5,4,2
168,1,2,1,1
169,3,5,5,1
170,2,2,1,5
171,3,5,2,3
172,2,2,1,1
173,1,3,4,2
174,4,1,4,2
175,3,1,4,4
176,5,2,2,2
177,2,4,2,4
178,5,5,2,2
179,1,1,3,3
180,4,5,2,2
181,1,5,3,1
182,2,3,1,3
183,2,3,1,5
184,5,3,5,5
185,5,5,4,2
186,2,5,2,1
187,2,5,5,2
188,1,3,5,1
189,3,2,5,1
190,5,4,4,2
191,3,5,5,5
192,1,5,3,1
193,4,1,1,4
194,4,3,5,5
195,5,4,1,3
196,4,1,3,4
197,4,4,5,3
198,5,1,3,5
199,3,3,2,3
200,5,2,1,4
201,1,3,2,1
202,2,5,2,1
203,5,5,4,5
204,3,3,1,5
205,2,1,2,5
206,5,3,1,3
207,2,4,2,3
208,5,1,4,4
209,5,3,1,2
210,1,1,3,2
211,4,3,5,2
212,4,1,4,1
213,5,2,1,1
214,3,5,3,5
215,5,5,4,1
216,5,4,5,4
217,2,2,2,3
218,3,5,3,5
219,3,2,2,1
220,1,3,1,1
221,4,1,2,5
222,3,3,1,5
223,1,5,3,4
224,4,3,1,3
225,3,2,5,2
226,4,1,3,3
227,5,4,1,2
228,5,5,1,3
229,4,1,5,4
230,2,3,4,3
231,5,3,2,5
232,3,2,3,2
233,4,3,4,2
234,5,2,5,4
235,5,2,1,1
236,1,5,4,1
237,4,5,2,3
238,2,1,3,5
239,4,3,2,2
240,5,4,3,3
241,2,1,4,1
242,1,4,2,1
243,2,4,2,3
244,2,3,1,2
245,4,2,4,4
246,1,2,4,1
247,1,3,5,5
248,2,4,3,3
249,5,4,4,4
250,2,5,2,5
251,3,4,4,4
252,4,1,4,1
253,3,2,5,1
254,3,1,2,2
255,3,5,2,1
256,4,3,1,3
257,1,4,2,4
258,1,1,1,1
259,3,3,1,3
260,4,4,4,1
261,2,2,5,4
262,2,1,2,4
263,2,3,2,1
264,1,2,5,1
265,2,3,3,1
266,1,5,4,2
267,3,1,2,2
268,2,1,2,1
269,1,4,3,1
270,4,4,4,1
271,3,1,4,4
272,3,3,3,2
273,4,3,5,1
274,5,2,1,5
275,2,5,1,3
276,1,2,4,1
277,5,3,2,2
278,2,5,4,1
279,4,5,4,4
280,1,2,4,1
281,5,1,4,1
282,5,3,4,4
283,4,4,1,3
284,5,3,4,5
285,1,2,5,3
286,4,2,1,3
287,2,5,5,1
288,3,2,5,5
289,2,2,3,5
290,2,2,1,4
291,1,5,2,1
292,4,4,4,1
293,2,2,3,2
294,5,3,3,2
295,3,1,1,1
296,5,4,4,4
297,5,1,1,3
298,2,3,1,4
299,5,4,3,5
300,3,5,2,5
301,4,1,4,2
302,5,4,1,5
303,3,1,4,4
304,1,4,5,4
305,2,3,2,4
306,1,1,2,2
307,4,5,2,5
308,3,5,4,5
309,4,4,1,5
310,5,4,1,3
311,5,1,2,2
312,5,4,5,4
313,4,2,3,5
314,4,1,2,5
315,1,2,4,4
316,3,5,3,4
317,1,5,5,2
318,2,3,2,3
319,2,1,5,2
320,2,5,3,3
321,3,5,5,4
322,5,2,2,5
323,1,1,1,3
324,1,4,3,1
325,1,1,3,2
326,2,3,3,1
327,5,4,5,1
328,5,2,3,2
329,4,5,3,1
330,3,4,5,5
331,2,2,1,4
332,5,3,3,1
333,3,2,5,1
334,4,1,3,2
335,5,1,4,4
336,5,5,1,2
337,1,1,2,4
338,5,1,4,1
339,2,4,3,4
340,5,2,4,5
341,3,3,1,5
342,1,4,2,1
343,1,5,1,4
344,3,4,1,3
345,1,4,2,2
346,4,2,2,5
347,1,1,1,2
348,1,3,3,5
349,2,1,5,1
350,1,2,3,4
351,4,2,1,4
352,5,1,2,2
353,4,2,4,4
354,1,1,4,2
355,1,5,5,4
356,1,1,5,5
357,3,3,2,2
358,1,5,1,5
359,4,5,3,1
360,4,3,1,5
361,3,4,4,2
362,5,4,5,3
363,3,4,3,3
364,3,3,4,4
365,3,4,4,4
366,5,1,5,3
367,5,5,1,5
368,1,2,3,1
369,4,2,3,1
370,1,3,2,1
371,4,2,4,5
372,3,2,1,1
373,1,1,5,1
374,5,4,4,4
375,4,1,4,4
376,5,5,1,5
377,1,4,1,3
378,2,5,4,1
379,4,1,1,1
380,5,4,5,3
381,1,3,4,5
382,5,2,2,2
383,1,3,4,5
384,3,2,3,2
385,4,3,3,5
386,3,3,5,1
387,2,2,3,5
388,1,4,4,5
389,1,1,2,1
390,4,2,4,2
391,1,3,2,5
392,2,4,4,2
393,1,1,5,4
394,5,1,4,3
395,2,1,3,4
396,5,3,5,1
397,1,3,4,1
398,4,3,5,4
399,4,5,3,1
400,3,4,5,3
401,4,4,4,1
402,1,5,3,2
403,4,4,5,5
404,4,2,3,3
405,2,3,2,1
406,4,1,5,3
407,1,2,4,1
408,1,3,2,2
409,2,3,1,1
410,1,2,1,2
411,5,1,1,2
412,1,3,5,1
413,1,5,4,4
414,2,2,3,3
415,2,1,2,3
416,5,1,2,5
417,1,3,1,2
418,2,2,2,3
419,3,1,2,1
420,3,4,1,1
421,3,4,3,1
422,3,5,4,4
423,3,3,1,2
424,2,2,4,2
425,1,1,4,2
426,3,3,4,3
427,5,2,3,2
428,4,3,5,1
429,4,2,5,5
430,2,4,1,2
431,1,3,2,2
432,1,4,3,5
433,1,5,3,4
434,2,5,1,2
435,5,5,1,1
436,2,1,2,2
437,5,4,3,2
438,1,2,4,2
439,4,2,4,1
440,3,2,1,5
441,1,5,4,3
442,2,4,5,2
443,3,4,4,4
444,5,3,5,5
445,4,2,1,4
446,3,1,3,5
447,2,4,5,4
448,2,5,3,5
449,5,3,4,3
450,1,1,2,4
451,3,3,5,2
452,4,4,5,2
453,5,4,1,2
454,4,2,2,3
455,2,1,3,4
456,3,2,5,1
457,5,5,1,2
458,1,4,3,5
459,1,5,5,4
460,1,5,4,3
461,1,5,4,3
462,3,4,3,2
463,5,1,4,3
464,2,4,4,1
465,3,4,5,1
466,2,3,1,5
467,2,1,5,5
468,2,3,5,5
469,2,3,1,1
470,2,2,2,2
471,1,4,4,5
472,1,4,3,4
473,1,3,2,4
474,5,2,2,3
475,3,5,2,5
476,4,1,1,4
477,3,1,1,2
478,2,4,1,1
479,3,3,4,3
480,2,4,2,2
481,1,1,5,3
482,4,1,1,3
483,1,5,5,5
484,4,1,3,5
485,1,4,5,3
486,2,1,2,5
487,1,1,3,5
488,4,1,5,5
489,3,3,5,1
490,5,3,5,4
491,3,5,1,2
492,4,5,5,5
493,4,1,3,2
494,4,3,2,5
495,2,4,1,3
496,4,1,5,4
497,2,4,3,3
498,4,5,5,2
499,4,5,2,3
500,3,2,1,1
501,3,4,2,5
502,1,1,2,3
503,5,1,4,2
504,1,2,2,5
505,3,5,5,2
506,3,3,3,5
507,5,1,5,3
508,4,4,5,4
509,4,3,4,3
510,1,2,3,2
511,5,5,1,3
512,5,3,1,3
513,4,2,4,4
514,5,3,1,2
515,4,4,2,5
516,2,1,3,2
517,1,3,4,2
518,2,1,2,4
519,3,5,1,2
520,2,5,1,4
521,2,1,3,1
522,2,2,5,3
523,1,1,2,3
524,3,2,4,2
525,1,5,4,4
526,1,3,3,1
527,2,5,3,1
528,4,2,2,5
529,4,5,4,3
530,1,5,1,2
531,5,2,3,4
532,2,1,3,3
533,5,2,5,2
534,3,1,2,1
535,2,5,4,2
536,2,5,2,1
537,2,2,1,1
538,2,3,5,4
539,4,4,2,2
540,2,1,1,1
541,4,4,2,5
542,1,3,2,2
543,1,2,4,4
544,2,1,1,5
545,4,3,4,2
546,3,4,2,4
547,1,5,3,5
548,4,1,3,2
549,1,2,2,1
550,2,5,3,5
551,1,1,1,3
552,4,1,3,3
553,2,5,2,2
554,1,5,2,5
555,5,1,4,1
556,4,4,2,4
557,1,1,4,2
558,5,5,5,4
559,5,4,3,4
560,2,4,2,4
561,4,4,3,3
562,1,5,5,4
563,2,5,1,4
564,4,3,2,1
565,3,4,3,2
566,5,5,2,4
567,5,5,2,1
568,5,2,5,1
569,4,2,4,5
570,3,3,5,3
571,1,5,2,2
572,1,4,2,1
573,1,1,2,1
574,1,2,3,5
575,1,3,1,2
576,4,5,1,5
577,3,2,3,5
578,4,5,4,3
579,3,3,3,2
580,5,1,1,4
581,2,1,5,3
582,4,2,1,5
583,2,4,5,5
584,2,4,2,5
585,1,2,5,3
586,3,4,2,5
587,1,5,2,5
588,5,2,3,4
589,3,3,5,2
590,1,2,5,5
591,3,4,4,3
592,2,5,5,2
593,3,4,1,5
594,4,1,3,1
595,1,4,5,1
596,4,4,2,5
597,1,1,3,3
598,2,3,1,3
599,2,1,3,5
600,1,5,3,3
601,5,3,2,2
602,1,2,2,4
603,4,3,1,5
604,1,4,3,2
605,2,3,3,3
606,1,2,4,5
607,4,2,3,1
608,5,2,5,4
609,2,2,4,5
610,5,1,4,5
611,3,4,4,5
612,1,2,5,1
613,2,5,4,5
614,1,5,2,3
615,4,2,5,5
616,4,1,1,5
617,5,3,4,2
618,5,4,4,5
619,2,2,1,1
620,4,3,5,3
621,2,5,3,1
622,4,2,5,2
623,4,2,5,3
624,5,4,1,3
625,1,3,2,4
626,1,1,2,1
627,2,4,3,2
628,2,5,1,1
629,5,1,1,3
630,3,3,5,2
631,3,2,5,3
632,2,2,5,5
633,3,5,1,2
634,2,2,2,3
635,2,3,4,4
636,2,2,1,5
637,5,3,3,5
638,3,2,2,5
639,3,2,1,4
640,4,4,5,3
641,2,3,5,2
642,5,5,5,2
643,5,5,4,2
644,5,5,4,3
645,1,1,1,3
646,3,1,4,1
647,2,1,5,2
648,5,4,1,3
649,4,4,5,1
650,4,2,4,3
651,2,5,5,5
652,5,5,1,5
653,3,1,2,3
654,5,5,1,3
655,5,1,1,2
656,2,2,5,1
657,3,3,2,3
658,3,5,3,4
659,5,4,3,1
660,2,5,5,1
661,1,3,2,4
662,5,4,3,2
663,1,1,1,4
664,4,2,4,4
665,2,5,3,5
666,1,5,4,4
667,4,5,4,2
668,1,3,3,5
669,1,3,4,4
670,1,3,1,4
671,1,5,5,5
672,3,2,2,4
673,1,3,3,1
674,3,1,3,4
675,3,1,3,5
676,4,1,5,5
677,5,4,2,3
678,4,2,2,4
679,2,2,1,1
680,5,5,2,1
681,5,4,5,3
682,1,1,2,3
683,3,2,4,5
684,2,3,1,2
685,4,1,3,5
686,2,4,3,5
687,4,2,4,3
688,2,5,4,5
689,4,5,5,4
690,4,3,1,3
691,1,3,2,5
692,1,2,4,5
693,3,4,5,3
694,4,1,1,4
695,2,5,1,2
696,2,4,1,2
697,1,4,1,5
698,4,1,4,1
699,3,2,2,2
700,1,5,1,4
701,5,2,5,2
702,5,2,1,5
703,2,1,3,1
704,3,5,5,2
705,1,5,2,1
706,1,1,2,2
707,4,2,4,4
708,2,1,3,2
709,3,5,1,2
710,4,3,2,5
711,2,3,3,1
712,5,2,2,1
713,4,4,1,1
714,1,2,1,5
715,3,4,2,4
716,2,2,1,4
717,1,1,3,4
718,2,4,5,3
719,4,3,4,1
720,4,5,1,3
721,4,4,4,3
722,4,5,5,3
723,3,3,2,3
724,5,5,5,4
725,2,3,1,1
726,5,5,3,1
727,3,5,5,5
728,4,2,2,4
729,4,3,2,5
730,4,1,2,4
731,5,2,2,4
732,5,2,2,2
733,3,4,4,1
734,4,5,5,5
735,3,5,4,2
736,1,1,1,2
737,5,1,5,5
738,5,4,3,5
739,2,5,5,4
740,2,4,4,4
741,3,4,3,5
742,2,1,1,2
743,1,5,1,2
744,4,5,3,1
745,4,5,4,1
746,4,1,4,2
747,4,4,5,1
748,1,2,1,1
749,2,3,5,2
750,1,5,2,4
751,1,2,3,5
752,2,5,2,5
753,5,5,1,3
754,5,4,2,2
755,4,3,2,5
756,3,5,4,2
757,5,2,5,4
758,3,2,3,3
759,1,4,3,2
760,2,3,5,4
761,2,1,2,2
762,1,4,3,1
763,5,5,3,1
764,5,4,2,5
765,4,4,5,4
766,2,5,5,3
767,5,3,5,4
768,1,2,5,5
769,4,3,2,1
770,1,4,5,4
771,3,5,5,3
772,2,2,1,4
773,1,5,4,3
774,4,5,2,3
775,5,1,4,5
776,2,3,1,4
777,3,2,1,2
778,2,2,5,2
779,3,1,1,4
780,5,5,3,5
781,3,1,3,1
782,1,2,3,2
783,2,1,5,3
784,2,1,4,3
785,2,2,3,3
786,3,4,2,4
787,4,4,4,3
788,1,4,2,4
789,2,4,4,1
790,5,4,2,2
791,3,2,2,5
792,1,4,5,3
793,3,5,3,4
794,3,5,2,4
795,1,1,2,5
796,2,5,5,5
797,4,3,3,5
798,3,3,4,1
799,1,5,4,2
800,2,3,5,4
801,2,1,2,2
802,3,2,3,4
803,2,4,4,5
804,1,5,5,3
805,4,5,3,2
806,2,4,5,5
807,5,5,4,4
808,3,2,2,4
809,1,3,4,4
810,5,3,1,1
811,5,3,4,1
812,2,5,3,4
813,4,3,3,1
814,5,2,1,4
815,3,1,3,3
816,4,4,5,1
817,1,5,3,3
818,2,4,4,5
819,5,2,1,2
820,5,3,4,1
821,5,5,3,4
822,5,4,3,4
823,1,4,3,4
824,5,3,4,4
825,4,3,3,1
826,1,5,5,1
827,3,3,1,3
828,2,5,3,2
829,2,3,2,3
830,1,1,1,5
831,5,4,1,1
832,4,2,2,4
833,1,5,1,1
834,2,5,5,4
835,4,3,4,2
836,4,5,1,5
837,1,5,5,5
838,1,3,1,3
839,2,3,1,2
840,4,2,4,5
841,2,3,4,1
842,1,3,1,5
843,3,2,3,5
844,4,3,3,3
845,2,1,5,5
846,3,1,2,4
847,4,4,1,1
848,3,5,4,2
849,5,5,4,5
850,4,4,2,1
851,1,3,5,4
852,1,5,1,5
853,2,2,3,2
854,1,2,5,5
855,1,3,4,2
856,1,5,4,4
857,4,5,1,2
858,3,2,2,2
859,5,4,4,4
860,1,3,4,4
861,3,3,1,5
862,2,1,1,1
863,2,3,5,4
864,4,3,1,4
865,3,4,2,4
866,1,5,2,2
867,4,1,4,4
868,4,5,3,5
869,3,1,1,2
870,1,1,4,5
871,1,5,3,4
872,3,2,5,4
873,2,1,2,4
874,1,3,2,3
875,4,5,2,3
876,3,3,1,1
877,4,3,5,4
878,2,4,1,4
879,3,2,3,4
880,3,5,4,5
881,3,3,5,2
882,1,3,3,3
883,3,4,3,1
884,5,5,4,3
885,4,4,4,1
886,5,5,5,3
887,4,4,5,5
888,5,3,2,5
889,4,1,1,5
890,5,1,2,3
891,2,5,1,2
892,5,1,1,5
893,1,1,3,1
894,3,1,4,3
895,1,4,3,1
896,5,3,1,1
897,4,1,1,2
898,4,4,1,1
899,3,4,5,4
900,4,5,1,4
901,5,1,5,4
902,4,3,5,5
903,1,3,3,5
904,1,5,5,2
905,1,2,5,5
906,3,2,4,5
907,3,2,1,5
908,3,3,2,2
909,2,1,1,3
910,2,3,5,4
911,4,4,3,2
912,1,4,2,3
913,3,2,2,2
914,4,4,4,4
915,2,2,5,5
916,3,2,5,3
917,3,1,1,4
918,5,3,2,2
919,3,1,3,1
920,4,2,4,1
921,2,5,4,2
922,3,2,2,4
923,3,5,1,2
924,2,1,2,2
925,1,1,1,4
926,2,1,4,4
927,4,4,5,4
928,5,3,5,2
929,3,4,2,1
930,4,4,3,1
931,3,4,2,3
932,1,5,2,1
933,4,4,5,1
934,4,3,3,5
935,1,3,5,2
936,1,5,2,5
937,4,5,2,4
938,2,5,5,3
939,4,5,3,1
940,1,4,2,2
941,1,1,1,3
942,5,1,4,5
943,2,4,2,3
944,2,1,2,2
945,3,2,3,5
946,4,1,3,2
947,5,4,4,2
948,4,5,4,1
949,2,1,4,3
950,5,3,1,2
951,3,4,1,1
952,4,1,5,1
953,4,5,1,5
954,2,5,2,2
955,4,2,1,2
956,3,5,3,2
957,5,4,2,1
958,4,4,3,4
959,5,2,3,3
960,4,5,1,4
961,3,3,3,1
962,5,4,4,1
963,3,5,5,1
964,2,2,1,2
965,3,5,1,3
966,5,3,5,2
967,5,2,2,5
968,1,5,4,5
969,1,4,1,1
970,1,4,4,3
971,2,4,5,3
972,3,1,1,5
973,5,3,1,2
974,1,4,3,3
975,3,3,5,3
976,4,2,4,2
977,2,1,2,1
978,1,3,1,4
979,1,3,2,3
980,4,2,3,1
981,5,4,4,4
982,2,3,3,5
983,4,2,5,4
984,4,3,3,3
985,3,5,3,1
986,3,4,4,3
987,2,5,4,2
988,1,4,2,5
989,4,2,5,5
990,1,5,2,3
991,1,4,2,5
992,2,3,2,1
993,1,1,4,3
994,4,5,1,4
995,3,2,3,1
996,3,2,5,5
997,2,2,1,5
998,3,1,2,4
999,2,5,4,3
1000,4,3,2,1
1001,2,3,3,2
1002,3,3,1,3
1003,5,2,1,2
1004,4,4,3,4
1005,4,4,5,4
1006,2,4,4,2
1007,5,1,4,4
1008,5,2,1,1
1009,5,4,2,1
1010,3,5,5,5
1011,4,1,4,2
1012,5,2,1,3
1013,2,2,2,4
1014,1,1,4,4
1015,1,4,3,1
1016,2,5,2,5
1017,2,2,1,1
1018,5,5,1,1
1019,1,1,1,5
1020,2,2,4,5
1021,3,2,3,5
1022,2,4,4,1
1023,5,4,1,1
1024,4,2,4,5
1025,4,5,5,4
1026,4,4,5,4
1027,1,1,3,2
1028,1,3,2,2
1029,2,3,2,4
1030,1,5,5,2
1031,3,2,2,5
1032,3,1,4,3
1033,2,1,1,1
1034,5,2,2,1
1035,5,1,1,5
1036,3,4,4,3
1037,5,1,2,4
1038,1,4,3,5
1039,5,5,2,5
1040,1,4,4,3
1041,5,2,3,5
1042,3,4,4,5
1043,1,5,2,4
1044,3,2,1,5
1045,2,1,5,2
1046,4,5,4,2
1047,1,5,5,4
1048,5,3,1,2
1049,5,2,4,4
1050,4,4,3,5
1051,1,1,3,1
1052,1,4,1,3
1053,4,2,2,3
1054,3,2,1,2
1055,3,1,1,3
1056,3,5,4,5
1057,1,3,2,5
1058,5,4,2,1
1059,3,1,1,4
1060,5,3,1,4
1061,1,1,5,4
1062,3,5,4,1
1063,1,1,2,5
1064,5,3,2,5
1065,1,5,2,5
1066,5,4,4,5
1067,3,3,4,4
1068,5,1,2,1
1069,1,5,3,3
1070,1,1,3,2
1071,2,3,3,4
1072,2,3,1,5
1073,1,2,3,5
1074,2,1,1,5
1075,3,2,4,1
1076,4,3,4,3
1077,4,4,4,1
1078,5,2,4,3
1079,2,1,3,2
1080,4,4,4,2
1081,1,5,3,3
1082,3,3,5,5
1083,4,2,2,2
1084,2,1,3,2
1085,1,1,1,1
1086,3,3,4,2
1087,2,1,4,1
1088,1,1,4,1
1089,1,5,5,3
1090,5,1,2,5
1091,3,5,5,5
1092,2,4,1,2
1093,1,5,1,4
1094,1,2,1,4
1095,2,1,2,4
1096,4,4,2,4
1097,4,4,3,2
1098,1,1,4,3
1099,1,3,2,1
1100,3,2,4,5
1101,4,2,5,3
1102,5,4,4,4
1103,4,5,4,1
1104,1,1,5,1
1105,1,2,3,3
1106,1,3,3,3
1107,3,2,5,5
1108,2,4,2,1
1109,4,3,1,3
1110,3,2,5,1
1111,4,2,2,2
1112,3,3,2,1
1113,2,5,4,4
1114,2,3,5,4
1115,4,1,3,1
1116,5,5,3,3
1117,1,3,5,1
1118,3,1,3,2
1119,3,4,1,4
1120,4,3,4,2
1121,5,1,1,1
1122,1,1,5,4
1123,5,4,5,3
1124,4,2,5,1
1125,2,2,3,3
1126,2,1,4,5
1127,3,4,5,5
1128,1,5,4,4
1129,2,4,1,3
1130,2,2,5,3
1131,3,2,5,1
1132,4,3,4,2
1133,2,1,2,5
1134,1,2,4,2
1135,5,3,3,2
1136,3,2,1,3
1137,2,5,1,3
1138,5,3,4,1
1139,3,1,5,2
1140,3,2,2,5
1141,1,4,4,1
1142,2,5,2,3
1143,5,5,5,5
1144,1,4,1,3
1145,4,2,4,2
1146,1,5,5,5
1147,4,5,4,3
1148,4,5,4,1
1149,1,5,1,4
1150,4,2,2,1
1151,5,3,2,5
1152,2,3,1,4
1153,5,1,2,2
1154,3,3,4,3
1155,5,5,2,5
1156,2,3,3,1
1157,1,4,4,3
1158,2,2,4,2
1159,5,5,3,4
1160,2,2,1,5
1161,1,4,4,5
1162,5,5,5,3
1163,3,3,4,1
1164,1,2,4,1
1165,2,3,2,3
1166,3,1,1,2
1167,2,4,4,1
1168,5,1,1,5
1169,3,1,1,4
1170,3,4,4,3
1171,4,2,5,5
1172,2,1,5,5
1173,4,5,1,5
1174,5,3,3,2
1175,1,5,4,1
1176,1,4,1,2
1177,3,2,3,1
1178,1,1,3,4
1179,1,1,1,4
1180,1,4,2,3
1181,4,5,4,4
1182,1,4,3,2
1183,2,5,5,2
1184,4,2,2,3
1185,1,2,5,2
1186,5,1,5,4
1187,5,4,2,1
1188,1,2,3,2
1189,2,3,2,3
1190,5,2,3,5
1191,2,3,1,4
1192,1,5,5,2
1193,4,4,1,1
1194,2,1,4,4
1195,5,3,3,4
1196,4,4,2,1
1197,3,5,5,5
1198,1,3,2,2
1199,5,2,3,3
1200,4,4,3,1
1201,2,1,4,3
1202,3,4,2,2
1203,5,3,4,2
1204,3,3,4,2
1205,3,3,5,4
1206,3,4,4,5
1207,5,2,3,4
1208,2,5,4,1
1209,3,3,2,3
1210,2,4,2,2
1211,5,4,5,3
1212,1,5,3,5
1213,4,3,2,5
1214,3,2,2,2
1215,1,4,1,2
1216,2,4,1,3
1217,4,5,5,2
1218,3,1,5,1
1219,5,5,5,3
1220,3,3,5,3
1221,1,4,2,5
1222,4,2,4,4
1223,5,3,2,5
1224,3,5,2,1
1225,3,5,4,2
1226,2,4,5,5
1227,4,2,4,1
1228,5,3,4,1
1229,2,2,2,2
1230,4,3,4,3
1231,1,3,2,4
1232,4,5,1,5
1233,1,2,4,3
1234,2,3,4,2
1235,4,3,2,5
1236,5,4,3,3
1237,3,2,5,1
1238,5,3,2,2
1239,3,4,5,4
1240,5,5,1,2
1241,2,3,5,1
1242,2,4,1,3
1243,5,1,3,5
1244,1,5,1,5
1245,4,5,4,2
1246,1,2,4,1
1247,3,5,3,1
1248,3,3,4,1
1249,1,3,3,4
1250,4,4,3,5
1251,5,5,1,4
1252,2,5,4,5
1253,1,3,2,4
1254,2,1,2,5
1255,2,5,2,5
1256,2,1,3,2
1257,5,4,2,3
1258,3,5,3,3
1259,3,3,4,1
1260,5,2,3,1
1261,2,2,4,4
1262,2,2,1,1
1263,2,2,2,3
1264,4,5,3,3
1265,4,1,4,5
1266,4,4,3,2
1267,1,1,5,2
1268,4,1,1,4
1269,3,3,3,2
1270,2,1,2,2
1271,1,1,1,4
1272,5,4,1,4
1273,3,3,1,2
1274,3,2,2,2
1275,4,4,1,3
1276,5,2,5,2
1277,5,5,1,3
1278,4,1,5,5
1279,2,3,1,2
1280,3,4,5,5
1281,5,1,4,2
1282,2,1,3,1
1283,2,5,5,2
1284,1,1,1,3
1285,2,2,1,3
1286,2,2,4,1
1287,3,1,2,4
1288,4,2,5,5
1289,3,3,1,5
1290,4,2,1,3
1291,1,4,2,3
1292,2,4,2,5
1293,2,2,4,3
1294,5,1,2,2
1295,3,5,3,4
1296,5,4,1,1
1297,4,4,5,4
1298,5,4,4,2
1299,4,4,2,5
1300,2,1,5,5
1301,2,5,4,3
1302,4,1,4,5
1303,1,3,5,3
1304,5,2,5,3
1305,2,1,3,1
1306,5,4,1,1
1307,2,4,2,3
1308,5,4,4,2
1309,4,5,1,2
1310,1,1,3,4
1311,4,4,4,5
1312,3,4,3,4
1313,3,3,1,5
1314,2,1,5,4
1315,4,1,3,1
1316,3,1,3,1
1317,3,3,1,1
1318,3,3,5,3
1319,1,3,5,2
1320,5,2,3,5
1321,3,4,3,5
1322,1,4,1,5
1323,4,4,4,5
1324,3,3,1,4
1325,5,4,4,5
1326,5,1,1,5
1327,1,1,2,5
1328,5,5,1,3
1329,4,5,1,2
1330,3,3,2,3
1331,5,1,4,5
1332,3,2,3,4
1333,3,1,1,3
1334,2,2,5,2
1335,2,3,1,1
1336,3,5,3,1
1337,1,4,4,2
1338,4,4,4,5
1339,1,1,2,1
1340,2,2,3,3
1341,4,3,4,1
1342,1,3,4,5
1343,5,5,5,1
1344,4,2,5,3
1345,4,1,1,1
1346,2,1,3,2
1347,1,4,3,3
1348,1,1,5,2
1349,5,2,2,1
1350,5,4,3,5
1351,1,1,5,5
1352,1,4,4,4
1353,1,4,1,5
1354,1,3,2,3
1355,5,3,3,1
1356,1,4,1,1
1357,2,3,4,5
1358,3,4,3,5
1359,1,3,5,5
